# StellarMass HIMass H2Mass SFR StellarSurfaceDensity MolecularSurfaceDensity MolecularMetallicity
# Msun Msun Msun Msun/yr Msun/kpc^2 Msun/kpc^2 Zsun (h=0.6774, Zsun=0.0134, HI/H2=GD14)
3.0960e+09 4.8034e+08 5.3969e+08 6.7740e-01 1.5578e+08 1.4858e+07 1.1970e+00
6.3314e+09 4.1470e+08 8.6437e+08 1.1499e+00 4.7671e+08 8.1711e+07 1.3461e+00
5.4682e+09 2.2686e+08 5.2814e+08 6.6216e-01 5.1417e+08 5.2264e+07 1.5949e+00
1.3749e+10 0.0000e+00 0.0000e+00 0.0000e+00 4.7339e+08 nan nan
1.0470e+10 0.0000e+00 0.0000e+00 0.0000e+00 7.6096e+08 nan nan
1.5747e+10 0.0000e+00 0.0000e+00 0.0000e+00 2.0363e+09 nan nan
3.9898e+09 1.6103e+08 3.6724e+08 3.4901e-01 1.0435e+08 2.9776e+07 2.4159e+00
2.7764e+09 4.3529e+07 1.4671e+08 2.1511e-01 1.0015e+08 3.1034e+07 1.9150e+00
8.7762e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.8634e+09 nan nan
1.8524e+09 2.3808e+08 3.0115e+08 1.9960e-01 6.9413e+07 1.7394e+07 1.5571e+00
8.3473e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.3225e+08 nan nan
3.0807e+09 3.1079e+08 7.0154e+08 9.7913e-01 2.0311e+08 1.3462e+08 1.4443e+00
2.2189e+09 1.2923e+08 2.8009e+08 2.6180e-01 5.3140e+07 2.0675e+07 1.6314e+00
6.4911e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.3092e+08 nan nan
8.2329e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.5718e+08 nan nan
1.2611e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.1783e+07 nan nan
4.9479e+09 2.3878e+08 6.1852e+08 6.1987e-01 2.7704e+08 3.2689e+07 2.1368e+00
7.3738e+09 1.4109e+08 5.4658e+08 1.0102e+00 4.3061e+08 1.6387e+08 2.4961e+00
2.1376e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.7241e+08 nan nan
